Quarter,top_5_nodes
2025-Q2,"[('rphair', 1)]"
2025-Q1,"[('rphair', 0.5434782608695652), ('Ryun1', 0.45652173913043476), ('Crypto2099', 0.2608695652173913), ('nfrisby', 0.17391304347826086), ('colll78', 0.15217391304347827)]"
2024-Q4,"[('rphair', 0.5365853658536586), ('colll78', 0.2682926829268293), ('rjmh', 0.24390243902439024), ('Ryun1', 0.1951219512195122), ('Crypto2099', 0.1951219512195122)]"
2024-Q3,"[('Ryun1', 0.5857142857142857), ('rphair', 0.4857142857142857), ('perturbing', 0.18571428571428572), ('fallen-icarus', 0.18571428571428572), ('ashisherc', 0.18571428571428572)]"
2024-Q2,"[('Ryun1', 0.5609756097560976), ('rphair', 0.5121951219512195), ('Crypto2099', 0.34146341463414637), ('Hornan7', 0.17073170731707318), ('cardano-dev4', 0.17073170731707318)]"
2024-Q1,"[('rphair', 0.4693877551020408), ('Ryun1', 0.44897959183673464), ('colll78', 0.4081632653061224), ('michaelpj', 0.3877551020408163), ('zliu41', 0.2857142857142857)]"
2023-Q4,"[('rphair', 0.5636363636363636), ('Ryun1', 0.39999999999999997), ('AngelCastilloB', 0.2909090909090909), ('michaelpj', 0.21818181818181817), ('Quantumplation', 0.21818181818181817)]"
2023-Q3,"[('rphair', 0.6428571428571428), ('Ryun1', 0.6190476190476191), ('KtorZ', 0.30952380952380953), ('Crypto2099', 0.2857142857142857), ('WhatisRT', 0.21428571428571427)]"
2023-Q2,"[('rphair', 0.42), ('Ryun1', 0.4), ('KtorZ', 0.36), ('michaelpj', 0.28), ('AndrewWestberg', 0.22)]"
2023-Q1,"[('KtorZ', 0.367816091954023), ('rphair', 0.3218390804597701), ('Ryun1', 0.3103448275862069), ('michaelpj', 0.28735632183908044), ('Crypto2099', 0.1839080459770115)]"
2022-Q4,"[('KtorZ', 0.42528735632183906), ('rphair', 0.3793103448275862), ('L-as', 0.1954022988505747), ('JaredCorduan', 0.1839080459770115), ('SebastienGllmt', 0.16091954022988506)]"
2022-Q3,"[('SebastienGllmt', 0.3448275862068966), ('rphair', 0.3333333333333333), ('KtorZ', 0.3103448275862069), ('JaredCorduan', 0.16091954022988506), ('Padierfind', 0.16091954022988506)]"
2022-Q2,"[('KtorZ', 0.6101694915254238), ('rphair', 0.3389830508474576), ('SebastienGllmt', 0.3050847457627119), ('michael-liesenfelt', 0.22033898305084745), ('kozross', 0.15254237288135594)]"
2022-Q1,"[('SebastienGllmt', 0.49122807017543857), ('KtorZ', 0.45614035087719296), ('rphair', 0.3684210526315789), ('mark-stopka', 0.21052631578947367), ('michaelpj', 0.19298245614035087)]"
2021-Q4,"[('michaelpj', 0.40625), ('SebastienGllmt', 0.34375), ('KtorZ', 0.3125), ('crptmppt', 0.265625), ('savaki', 0.265625)]"
2021-Q3,"[('huths0lo', 0.6), ('KtorZ', 0.45714285714285713), ('crptmppt', 0.2857142857142857), ('SebastienGllmt', 0.22857142857142856), ('dcoutts', 0.19999999999999998)]"
2021-Q2,"[('SebastienGllmt', 0.5208333333333333), ('KtorZ', 0.4375), ('alessandrokonrad', 0.35416666666666663), ('crptmppt', 0.2708333333333333), ('AndrewWestberg', 0.1875)]"
2021-Q1,"[('KtorZ', 0.6538461538461539), ('SebastienGllmt', 0.42307692307692313), ('shawnim', 0.42307692307692313), ('crptmppt', 0.3076923076923077), ('rphair', 0.3076923076923077)]"
2020-Q4,"[('SebastienGllmt', 0.7727272727272727), ('crptmppt', 0.5), ('mmahut', 0.4545454545454546), ('intricate', 0.3181818181818182), ('dcoutts', 0.2727272727272727)]"
2020-Q3,"[('shawnim', 0.72), ('papacarp', 0.4), ('KtorZ', 0.36), ('crptmppt', 0.36), ('rphair', 0.24)]"
2020-Q2,"[('crptmppt', 0.8), ('KtorZ', 0.7000000000000001), ('SebastienGllmt', 0.6000000000000001), ('jonathanknowles', 0.4), ('dcoutts', 0.30000000000000004)]"
